instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
41,988,0,0,1,1,0,1,2,1,1,1,2,1,1,1,0,1,1,1,1,1,1,1,2,2,1,0,2,1,1,1,0.85,1
42,373,0,1,1,1,0,3,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,2,2,0,0,1,1,0,1,0.74,1
43,400,0,0,0,0,0,5,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,1,2,2,0,1,0,0,1,1,0.57,1
44,308,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,2,2,0,0,0,0,1,1,0.7,1
45,112,1,1,0,1,0,1,0,1,0,0,0,0,0,2,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,1,0.67,1
46,192,0,1,1,1,0,3,1,1,0,1,1,0,0,0,0,0,0,0,1,2,2,2,2,2,0,0,1,1,1,1,0.94,1
47,586,0,0,1,1,0,1,2,1,1,1,2,1,1,1,1,0,2,1,2,1,1,0,0,0,1,1,2,1,1,1,0.73,1
48,113,1,0,1,0,0,5,2,1,1,0,0,0,0,0,0,0,1,1,2,0,0,1,1,0,1,0,2,1,1,1,0.52,0
49,230,0,0,1,1,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,2,1,2,2,1,0,0,0,0,1,1,0.85,1
50,1034,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,2,1,2,1,2,2,1,0,2,2,1,1,0.79,1
51,232,0,0,1,0,0,2,0,0,0,1,1,0,0,1,1,0,0,0,1,2,0,2,1,1,0,0,0,0,0,1,0.59,1
52,169,0,0,0,1,0,1,0,1,0,1,2,0,0,1,1,2,0,1,2,0,2,0,2,2,0,0,0,0,1,1,0.83,1
53,351,0,1,1,2,1,3,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,0,0,1,0,1,1,0.58,1
54,146,1,1,0,1,0,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,2,2,2,2,0,1,0,0,1,1,0.86,1
55,1106,1,2,1,2,0,5,1,0,0,0,1,0,0,0,0,1,0,0,2,2,1,2,2,2,0,0,0,0,0,1,0.71,1
56,519,1,1,1,2,1,4,1,1,1,1,2,1,1,1,1,0,2,1,2,0,2,2,2,2,0,1,2,0,1,1,0.66,1
57,1135,1,2,2,1,1,2,2,1,1,1,2,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,0.68,0
58,265,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1,1,1,2,1,1,2,0,0,0,0,1,1,0.54,1
59,467,1,1,2,1,0,4,2,1,1,0,0,1,1,1,1,1,2,1,2,0,1,1,0,1,1,1,2,2,1,1,0.77,1
60,797,1,1,1,1,0,1,2,1,1,1,2,0,0,1,1,2,1,1,2,1,1,2,2,2,1,0,1,2,1,1,0.79,1
