instance_index,original_test_index,Gender,Age,Academic_degree,Years_Experience,Years_experience_lastorganization,Sector,MonthlySalary,MedicalInsurance,Bonus,OverTime,Payment_Overtime,Rewards_Wages_Satisfaction,Get_Deserved_Promotion,Training_programs_During_last_three_years,Useful_Training_Programs,Business_Travel,Job_Support,Recognition,Emotional_Commitment,Job_Engagement,Distance_to_work,Work_Live_Balance,Physical_Stress,Psychological_Exhaustion,Job_Stability,Health_Issues,Environment_Satisfaction,Job_Satisfaction,Job_Opportunities,predicted_class,prediction_score,target_saudi
41,1160,1,0,0,1,1,2,1,1,0,0,0,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0.11,0
42,947,1,1,1,1,1,2,1,1,1,1,2,1,1,3,1,1,2,1,2,1,1,1,0,0,1,1,2,1,1,0,0.01,0
43,661,1,2,0,2,2,4,2,0,1,1,2,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0.06,0
44,272,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,1,0,1,1,0,0,0.29,0
45,597,1,0,2,0,0,2,1,1,1,1,2,1,1,1,1,0,2,1,2,0,0,0,1,1,1,0,1,1,0,0,0.03,0
46,622,1,0,1,1,1,1,2,1,0,0,0,1,1,1,1,2,2,1,2,1,0,1,1,1,1,0,2,2,0,0,0.31,0
47,72,0,0,1,0,0,3,0,0,0,0,0,1,1,3,1,0,1,1,1,2,0,0,0,0,0,0,2,2,1,0,0.24,1
48,156,0,0,1,0,0,3,2,0,0,0,0,1,0,2,1,0,1,1,1,1,0,1,2,2,1,0,0,1,0,0,0.12,0
49,483,1,2,3,2,2,2,3,1,1,0,0,1,1,3,1,0,2,1,2,1,1,1,1,0,1,0,2,2,0,0,0.0,0
50,1165,0,1,1,1,1,1,1,0,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,1,1,0,1,1,0,0,0.04,0
51,850,0,1,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0.22,0
52,900,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0.3,1
53,765,0,0,1,1,1,3,1,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0,1,1,1,0,1,1,0,0,0.04,0
54,694,1,0,1,2,2,3,3,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,1,2,1,0,1,2,0,0,0.09,0
55,76,1,1,3,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,0,1,2,0,0,0.1,0
56,95,0,1,1,0,0,3,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,0.16,0
57,538,1,0,0,0,0,1,0,1,0,1,2,0,0,1,1,0,1,1,1,2,1,1,1,1,0,0,1,1,0,0,0.29,0
58,959,0,0,1,0,0,2,0,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,0,0,1,0,2,1,0,0,0.1,0
59,699,1,0,1,2,2,3,0,1,0,1,1,0,0,1,1,0,1,0,2,0,1,0,2,0,1,0,1,1,0,0,0.18,0
60,326,0,0,1,1,1,3,0,0,0,0,0,1,1,3,1,0,2,1,2,0,0,0,0,0,1,0,2,2,1,0,0.06,0
61,290,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,0,0,0,0,0.27,0
62,910,1,1,2,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,2,1,2,0,0,1,0,2,1,0,0,0.3,0
63,444,0,1,1,0,0,4,1,1,1,1,0,1,1,2,1,0,2,1,2,1,1,1,2,1,0,0,2,1,0,0,0.12,0
64,596,0,1,1,1,1,3,1,1,1,0,1,1,1,1,1,0,1,1,2,1,0,0,1,1,1,0,1,1,0,0,0.07,0
65,733,0,1,1,1,1,3,1,1,0,0,0,1,1,3,1,0,1,1,2,0,0,0,1,0,1,0,1,1,0,0,0.02,0
66,422,0,0,0,1,1,4,1,1,0,0,0,1,1,2,1,1,2,1,2,1,1,1,1,1,1,0,2,1,0,0,0.06,0
67,183,0,1,1,1,1,2,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,2,2,0,1,1,1,0,0,0.19,0
68,872,0,0,1,0,0,3,1,0,1,1,2,1,1,1,1,1,2,1,2,0,1,1,1,0,1,0,2,2,0,0,0.03,0
69,83,1,1,1,2,2,4,1,1,0,0,0,0,0,1,1,1,1,1,2,1,0,1,1,1,1,0,2,1,0,0,0.21,0
70,255,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,0,0,1,1,0,0,0.18,0
71,716,0,1,2,1,1,3,0,0,1,0,1,0,0,3,1,1,0,1,1,1,0,1,2,2,0,0,1,1,0,0,0.27,0
72,828,0,0,2,1,1,2,2,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,2,0,1,1,2,1,0,0.29,0
73,60,1,1,0,1,1,4,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,2,2,0,0,2,2,0,0,0.33,0
74,833,0,1,1,1,1,2,1,0,0,0,0,0,0,2,0,0,0,1,2,2,1,1,1,1,0,0,1,1,0,0,0.27,0
75,1031,0,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,2,1,0,0,0,0,0,1,0,0,0.29,0
76,221,1,2,1,2,1,2,1,1,0,1,2,1,1,1,1,0,1,1,2,1,1,1,1,0,1,0,1,2,1,0,0.31,1
77,319,1,1,1,1,1,1,2,1,1,0,0,1,1,2,1,0,2,1,2,0,1,0,1,0,1,0,2,2,0,0,0.04,0
78,543,1,0,1,0,0,4,1,1,0,0,0,1,0,1,1,1,1,1,1,2,1,0,0,1,0,0,1,1,0,0,0.32,0
79,841,1,0,0,0,0,2,1,1,0,1,2,1,1,2,1,0,2,1,2,1,1,1,0,0,1,0,1,1,0,0,0.02,0
80,766,0,0,2,1,1,4,1,0,0,0,0,0,0,0,0,0,1,1,2,0,2,1,1,0,1,0,1,1,0,0,0.34,0
81,188,0,2,1,0,0,3,0,0,1,0,1,0,1,1,1,0,2,1,2,1,1,1,1,1,1,0,1,1,1,0,0.23,0
82,678,1,2,1,1,1,3,0,1,0,0,0,1,1,2,1,0,2,1,2,1,0,0,1,0,1,0,2,2,1,0,0.12,0
83,202,1,2,1,2,2,1,1,0,0,0,1,1,0,1,0,0,2,1,1,0,1,1,2,2,0,0,1,1,0,0,0.34,0
84,1168,1,0,0,1,1,2,1,1,1,1,2,1,1,2,1,0,1,1,1,1,1,1,0,0,1,0,1,2,1,0,0.37,0
85,952,0,0,0,1,1,3,1,1,0,0,1,1,0,1,1,0,2,1,2,1,0,2,0,1,1,0,1,1,0,0,0.33,0
86,181,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,1,2,0,0,1,0,1,0,0.38,0
87,1121,0,1,1,2,2,1,2,1,0,0,0,1,1,1,1,1,2,1,2,1,0,1,0,1,1,0,2,2,0,0,0.23,0
88,747,1,0,3,1,1,2,2,1,1,1,2,1,1,3,1,0,1,1,1,1,1,0,0,1,1,0,1,2,0,0,0.1,0
89,1148,0,0,1,0,0,2,0,1,1,1,2,1,1,3,1,0,2,1,2,1,1,1,1,1,1,0,2,1,0,0,0.1,0
90,376,0,1,1,1,1,3,0,0,0,1,2,1,1,1,1,0,2,1,2,0,1,0,1,0,1,0,1,1,0,0,0.04,0
91,401,0,2,0,0,0,5,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,1,2,1,0,2,2,1,0,0.39,0
92,796,1,2,1,2,2,1,3,1,0,0,0,0,1,1,1,1,0,1,1,1,0,0,2,1,0,0,1,1,0,0,0.36,1
