instance_index,original_test_index,predicted_probability,SHAP_Academic_degree,SHAP_Years_Experience,SHAP_Years_experience_lastorganization,SHAP_Sector,SHAP_MonthlySalary,SHAP_MedicalInsurance,SHAP_Bonus,SHAP_OverTime,SHAP_Payment_Overtime,SHAP_Rewards_Wages_Satisfaction,SHAP_Get_Deserved_Promotion,SHAP_Training_programs_During_last_three_years,SHAP_Useful_Training_Programs,SHAP_Business_Travel,SHAP_Job_Support,SHAP_Recognition,SHAP_Emotional_Commitment,SHAP_Job_Engagement,SHAP_Distance_to_work,SHAP_Work_Live_Balance,SHAP_Physical_Stress,SHAP_Psychological_Exhaustion,SHAP_Job_Stability,SHAP_Environment_Satisfaction,SHAP_Job_Satisfaction,SHAP_Job_Opportunities
0,983,0.92,-0.017663462001465884,0.12540783950622872,0.08130680900221535,-0.006626502048404311,0.015617373387024708,0.00831633072603674,-0.006934276490257068,-0.0020031178196232985,0.0052458279480028765,0.015388452594620558,0.01634292793424747,0.025251201061569205,-0.010717998405608746,0.0015338808631180196,0.011803912112970846,-0.00885825384776627,0.0144257444768183,0.010732262842455254,-0.0006796152220299031,0.0143474886415598,-0.0064509627298009005,0.014037631460955668,0.020198997127995423,-0.0011849810076997739,0.0021015934633081086,0.09855985981944988
1,1057,0.46,-0.006067567803049316,-0.10954496510672072,0.0416381934648143,0.04337525429683352,-0.01910823741170641,-0.028688549755664688,-0.010571131183430442,-0.0036673060134637687,-0.004428348463515384,-0.031437675695683856,0.026488924061531107,0.02849595621206517,0.017024632317342876,-0.0063124461477813455,0.0268505213624706,0.015805572396420928,-0.04281881292175227,-0.022221372628310056,-0.002505038326046543,-0.013238330705301398,-0.0006547353985052067,-0.008480381664929646,-0.014136808756502962,-0.011570339113112359,0.013630536348710172,0.08164142003120828
2,955,0.62,-0.006290077120279544,0.06868363648079855,-0.0811671243331811,-0.026320424934953412,0.0021953375449977326,0.009659774760355915,0.008812860487483984,0.0020280210261420877,-0.0008129102126675438,-0.022748307942147973,-0.06420011321654778,0.02751780308583274,0.014390237349793953,-0.002162429858706411,0.013566209638075562,-0.009544426967517788,0.0349125753509061,-0.008915657377280336,-0.0068411891087752415,-0.004818145770503327,0.01093357318574011,-0.01683542720576633,0.03129050768406319,0.004541228040611788,-0.0008678468991696716,0.14249127970861497
3,405,0.57,0.0003185009215693915,0.11568525977392116,0.10264214241729025,-0.012352332364244163,-0.007214151045657868,0.00159188843288861,0.0027470991004742767,0.0076981134648703535,-0.011695275067114147,-0.018428978523793643,0.035877476339515796,-0.1863786098355448,-0.010779043643713048,0.001420800016336215,0.006924485702109066,-0.0035863948726630865,-0.03540555707158162,0.0007495000173141957,-0.011003183493603724,-0.009886368379390099,-0.011059226058780337,0.004671646352063565,0.05175626733868723,-0.0073729289027238114,-0.004582238075806278,0.06716007085349678
4,305,0.85,0.0003031682290981116,0.11900156998220357,0.0828986719900354,0.044871439633873196,0.010064618341972443,-0.03316878217791267,-0.004459479807316794,0.003467520468960442,0.00946359968871206,0.01868283451719305,0.037000473138212295,0.025062991893066648,0.011444605018850666,-0.003306006709746728,0.006172267731809993,-0.011844185516290134,-0.036079008117671556,-0.004720664699850307,-0.004273717130669545,-0.011256406236885548,-0.007942914994175003,0.0035201631117842205,0.03394200685466219,-0.02176353963000098,-0.001452471388894011,0.08387020920489964
5,929,0.64,-0.006581352730048322,0.07038110441297835,-0.04509844378871087,-0.015028673931141255,0.0449687148671905,0.003993758172603707,0.0013456766039291832,0.0036639407573737124,-0.014381180938368876,-0.010301913017285667,-0.042004621320140746,0.07012781154915187,-0.008264501726489485,-0.000989369355441795,-0.0005408892929673638,-0.004989536358626777,-0.03860340584042142,-0.007895969850685082,-0.015477840636141363,0.0763838231033019,-0.0116812627796679,0.014587920726183121,-0.02679691221403541,-0.01278686624006472,-0.022586107243899287,0.13805506046734414
6,512,0.66,-0.0004816400046964997,-0.1375187662858394,0.03678316168191141,0.060465786459436344,-0.0024931537873431925,0.012878833276910986,0.0020834873962802636,-0.006052398030373709,0.007496723901974867,0.015345463053289725,-0.033294617661403736,0.03355383269888742,-0.021626479529901738,0.0004898277746121959,0.0060959694984016235,-0.012774799664205356,0.03268798405544382,-0.01936622190269411,0.007654278648750488,-0.0019344677045511456,0.016670256273084202,0.009938523688378666,0.004177940950997792,0.002835177299791282,0.009054894690274099,0.13682936661850414
7,984,0.75,0.00036821927179452475,0.08630368199393076,-0.06465547288368992,-0.028458237304324573,0.06251529779052342,0.008289679444171746,0.000598659902841447,-0.0034303179015016108,0.016580825467765122,-0.021232027428374094,0.015271964936259316,0.033558320228559764,-0.014450547622976229,-0.016168490352631185,0.006648397217489063,-0.0008089153996377346,0.022230954458597196,-0.005707731355774373,-0.01122691906310082,0.0028683921836705146,-0.015022674652000514,0.020122927110960285,0.026687754109625057,-0.0007667228053427177,0.0008726733895585881,0.1285092726595266
8,1166,0.62,-0.008076209520536429,-0.135864146025006,0.04559258168279918,0.0826748390910306,0.0005659837711065763,0.008642018839820784,0.007729111919740522,0.003797927388254371,0.010716648866996642,-0.034177661091148635,-0.03968855008624887,-0.015405999969851479,-0.022070748771302048,0.003886313866718827,0.025711918119152265,-0.012872392338076096,0.05598529493960241,-0.002599362646717409,-0.012673115512242577,-0.003957574879365454,0.012051775263132568,0.002881854410346492,-0.020543697298040182,0.006565083451926963,0.01199973639458216,0.14862733352924565
9,453,0.47,-0.00884142324428752,-0.1499747217838681,0.028915968742739457,-0.009880257148957952,-0.014229290789411252,-0.0164581433663491,-0.0007990530462243663,0.016136727094225006,0.007509520110324034,0.0114445614893058,0.024232108015676008,-0.00045850132439027744,-0.028264590788754654,-0.012878130805812472,0.00037205753199572874,-0.017126868723881836,0.018699362123422616,-0.008232577225076068,-0.005702883012448708,0.03733884426537511,-0.00774897210100816,0.009476314358025522,0.02467942489591811,-0.001627197193503964,0.02479283269086558,0.048123852632022235
