feature,male_pct,female_pct,diff,male_count,female_count
age,0.0,0.0,0.0,0,0
amount,52.38095238095239,23.076923076923077,29.30402930402931,11,3
credit_history,57.14285714285714,30.76923076923077,26.37362637362637,12,4
duration,47.61904761904761,69.23076923076923,-21.611721611721613,10,9
employment_duration,14.285714285714285,7.6923076923076925,6.593406593406592,3,1
foreign_worker,0.0,0.0,0.0,0,0
housing,0.0,0.0,0.0,0,0
installment_rate,9.523809523809524,15.384615384615385,-5.860805860805861,2,2
job,0.0,7.6923076923076925,-7.6923076923076925,0,1
number_credits,0.0,0.0,0.0,0,0
other_debtors,0.0,7.6923076923076925,-7.6923076923076925,0,1
other_installment_plans,4.761904761904762,0.0,4.761904761904762,1,0
people_liable,0.0,0.0,0.0,0,0
present_residence,0.0,0.0,0.0,0,0
property,28.57142857142857,15.384615384615385,13.186813186813184,6,2
purpose,28.57142857142857,30.76923076923077,-2.1978021978022007,6,4
savings,9.523809523809524,30.76923076923077,-21.245421245421248,2,4
sex,0.0,0.0,0.0,0,0
status,100.0,100.0,0.0,21,13
telephone,0.0,0.0,0.0,0,0
