feature,male_pct,female_pct,diff,male_count,female_count
age,80.95238095238095,69.23076923076923,11.721611721611723,17,9
amount,95.23809523809523,100.0,-4.761904761904773,20,13
credit_history,57.14285714285714,30.76923076923077,26.37362637362637,12,4
duration,80.95238095238095,69.23076923076923,11.721611721611723,17,9
employment_duration,61.904761904761905,92.3076923076923,-30.4029304029304,13,12
foreign_worker,0.0,0.0,0.0,0,0
housing,76.19047619047619,76.92307692307693,-0.7326007326007442,16,10
installment_rate,42.857142857142854,53.84615384615385,-10.989010989010993,9,7
job,85.71428571428571,92.3076923076923,-6.593406593406598,18,12
number_credits,23.809523809523807,0.0,23.809523809523807,5,0
other_debtors,9.523809523809524,15.384615384615385,-5.860805860805861,2,2
other_installment_plans,9.523809523809524,0.0,9.523809523809524,2,0
people_liable,23.809523809523807,0.0,23.809523809523807,5,0
present_residence,9.523809523809524,15.384615384615385,-5.860805860805861,2,2
property,33.33333333333333,15.384615384615385,17.948717948717942,7,2
purpose,100.0,100.0,0.0,21,13
savings,38.095238095238095,69.23076923076923,-31.13553113553113,8,9
sex,0.0,7.6923076923076925,-7.6923076923076925,0,1
status,100.0,100.0,0.0,21,13
telephone,0.0,0.0,0.0,0,0
