feature,male_pct,female_pct,diff,male_count,female_count
age,23.015873015873016,24.358974358974358,-1.3431013431013419,29,19
amount,79.36507936507937,73.07692307692307,6.288156288156301,100,57
credit_history,72.22222222222221,64.1025641025641,8.119658119658112,91,50
duration,72.22222222222221,75.64102564102564,-3.418803418803421,91,59
employment_duration,57.936507936507944,62.82051282051282,-4.884004884004874,73,49
foreign_worker,3.968253968253968,2.564102564102564,1.404151404151404,5,2
housing,38.095238095238095,48.717948717948715,-10.62271062271062,48,38
installment_rate,38.095238095238095,34.61538461538461,3.4798534798534817,48,27
job,38.88888888888889,41.02564102564102,-2.136752136752129,49,32
number_credits,20.634920634920633,7.6923076923076925,12.94261294261294,26,6
other_debtors,11.11111111111111,23.076923076923077,-11.965811965811966,14,18
other_installment_plans,17.46031746031746,12.82051282051282,4.639804639804639,22,10
people_liable,15.873015873015872,2.564102564102564,13.308913308913308,20,2
present_residence,13.492063492063492,12.82051282051282,0.6715506715506727,17,10
property,37.301587301587304,20.51282051282051,16.788766788766793,47,16
purpose,56.34920634920635,56.41025641025641,-0.06105006105006083,71,44
savings,32.53968253968254,51.28205128205128,-18.74236874236874,41,40
sex,3.968253968253968,2.564102564102564,1.404151404151404,5,2
status,100.0,100.0,0.0,126,78
telephone,8.73015873015873,7.6923076923076925,1.0378510378510368,11,6
