feature,male_pct,female_pct,diff,male_count,female_count
age,0.0,0.0,0.0,0,0
amount,76.19047619047619,76.92307692307693,-0.7326007326007442,16,10
credit_history,71.42857142857143,61.53846153846154,9.89010989010989,15,8
duration,80.95238095238095,76.92307692307693,4.029304029304015,17,10
employment_duration,61.904761904761905,53.84615384615385,8.058608058608058,13,7
foreign_worker,0.0,0.0,0.0,0,0
housing,28.57142857142857,69.23076923076923,-40.65934065934066,6,9
installment_rate,57.14285714285714,30.76923076923077,26.37362637362637,12,4
job,14.285714285714285,38.46153846153847,-24.175824175824182,3,5
number_credits,38.095238095238095,0.0,38.095238095238095,8,0
other_debtors,0.0,15.384615384615385,-15.384615384615385,0,2
other_installment_plans,9.523809523809524,0.0,9.523809523809524,2,0
people_liable,28.57142857142857,0.0,28.57142857142857,6,0
present_residence,0.0,0.0,0.0,0,0
property,42.857142857142854,23.076923076923077,19.780219780219777,9,3
purpose,33.33333333333333,38.46153846153847,-5.128205128205138,7,5
savings,14.285714285714285,30.76923076923077,-16.483516483516485,3,4
sex,0.0,0.0,0.0,0,0
status,100.0,100.0,0.0,21,13
telephone,0.0,0.0,0.0,0,0
