narrative_provider,extractions_processed,avg_features_mentioned,avg_protected_attrs_mentioned,avg_shap_values_given,avg_feature_values_given,avg_shap_feature_values_given,avg_protected_attrs_values_given,avg_other_feature_values_given,rank_1_agreement_%,rank_2_agreement_%,rank_3_agreement_%,rank_total_agreement_%,sign_1_agreement_%,sign_2_agreement_%,sign_3_agreement_%,sign_total_agreement_%,shap_value_agreement_%,all_value_agreement_%,predicted_prob_mention_%,predicted_prob_agreement_%
claude,34,2.0294117647058822,0.0,3.0,6.323529411764706,3.0,0.0,3.323529411764706,97.05882352941177,79.41176470588235,76.47058823529412,84.31372549019608,97.05882352941177,85.29411764705883,82.35294117647058,88.23529411764706,100.0,95.57522123893806,100.0,100.0
deepseek,34,1.6176470588235294,0.0,3.0,5.382352941176471,3.0,0.0,2.3823529411764706,100.0,94.11764705882352,94.11764705882352,96.07843137254902,100.0,94.11764705882352,94.11764705882352,96.07843137254902,100.0,93.82716049382715,100.0,100.0
gemini,34,4.264705882352941,0.6176470588235294,3.0,9.029411764705882,3.0,0.7941176470588235,5.235294117647059,97.05882352941177,67.64705882352942,55.88235294117647,73.52941176470588,100.0,70.58823529411765,64.70588235294117,78.43137254901961,100.0,96.58536585365853,100.0,100.0
grok,34,7.794117647058823,0.8529411764705882,3.0,13.147058823529411,3.0,1.0294117647058822,9.117647058823529,100.0,85.29411764705883,85.29411764705883,90.19607843137256,100.0,91.17647058823529,91.17647058823529,94.11764705882352,100.0,97.05882352941177,100.0,100.0
mistral,33,2.878787878787879,0.0,2.909090909090909,6.03030303030303,2.909090909090909,0.0,3.121212121212121,90.9090909090909,54.54545454545454,51.515151515151516,65.65656565656566,96.96969696969697,66.66666666666666,60.60606060606061,74.74747474747475,92.6829268292683,86.40776699029125,69.6969696969697,100.0
openai,33,0.42424242424242425,0.0,2.5757575757575757,2.787878787878788,2.5757575757575757,0.0,0.21212121212121213,100.0,69.6969696969697,66.66666666666666,78.78787878787878,100.0,75.75757575757575,75.75757575757575,83.83838383838383,100.0,100.0,100.0,100.0
